recipe_id,recipe_name,receipe_alt_name,instructions,section id,section_name,ingrediant_row_id,ingrediant_id,ingrediant_name,ingrediant_qty,measure_unit,pack_type,pack_qty,to_order_unit_qty
4,מרק קרם שורשים,,במתכון 200 גרם שורש סלרי,1,מתכון,42,121,שורש סלרי,3,יחידה,יחידה,1,3
4,מרק קרם שורשים,,במתכון 200 גרם שורש פטרוזיליה,1,מתכון,43,122,שורש פטרוזיליה,2,יחידה,יחידה,1,2
1,סלט בורגול ועשבים,טבולה,tbd,1,מתכון,10,123,שמיר,5,גבעול,צרור,20,0.25
21,ספרינג רול ויאטנמי,,tbd,4,הגשה,295,123,שמיר,10,גבעול,צרור,20,0.5
18,פילה דניס עם ירקות בסגנון בויאבז,,tbd,1,רוטב,225,125,שמן זית,1,כף,בקבוק,1000,0.001
20,שרימפס פריך ברוטב גריביש,,tbd,1,מתכון,256,125,שמן זית,1,כף,בקבוק,1000,0.001
31,ריזוטו לבן עם פטריות,,tbd,1,ריזוטו,433,125,שמן זית,1,כף,בקבוק,1000,0.001
31,ריזוטו לבן עם פטריות,,tbd,2,פטריות,447,125,שמן זית,1,כף,בקבוק,1000,0.001
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,452,125,שמן זית,1,כף,בקבוק,1000,0.001
34,טורטליני דלעת צלויה בחמאת מרווה,,tbd,1,בצק פסטה,478,125,שמן זית,1,כף,בקבוק,1000,0.001
39,ניוקי פריזאי עם ירקות ירוקים,,tbd,2,הגשה,549,125,שמן זית,1,גרם,בקבוק,1000,0.001
46,ביף וולינגטון,,tbd,3,קרפ,644,125,שמן זית,1,גרם,בקבוק,1000,0.001
9,"ביצה עלומה, האש בראון ובייקון בקרמל",,tbd,3,עגבניה צלוייה,111,125,שמן זית,2,כף,בקבוק,1000,0.002
11,סלט ניסואז,Salade Nicoise,tbd,1,מתכון,137,125,שמן זית,2,כף,בקבוק,1000,0.002
35,כרבולות תרנגול בתפו״א ומנטה,,tbd,2,בצק פסטה ירוק,503,125,שמן זית,2,כף,בקבוק,1000,0.002
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,1,קונקסה,607,125,שמן זית,2,כף,בקבוק,1000,0.002
1,סלט בורגול ועשבים,טבולה,tbd,1,מתכון,11,125,שמן זית,4,כף,בקבוק,1000,0.004
2,רטטוי,Ratatouille,tbd,1,מתכון,25,125,שמן זית,5,כף,בקבוק,1000,0.005
6,ריבולטה,Ribollita,tbd,1,מתכון,69,125,שמן זית,6,כף,בקבוק,1000,0.006
12,סלט ירוק עם ויניגרט עשבים,,tbd,2,רוטב,152,125,שמן זית,8,כף,בקבוק,1000,0.008
13,סלט מג׳דרה,,tbd,1,מתכון,158,125,שמן זית,30,גרם,בקבוק,1000,0.03
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,2,אסקבש escabeche,613,125,שמן זית,80,גרם,בקבוק,1000,0.08
22,סלט שרימפס ופומלה,,tbd,2,סלט,315,124,שמן נייטרלי,0.5,ליטר,בקבוק,1000,0.0005
21,ספרינג רול ויאטנמי,,tbd,1,מתכון,274,124,שמן נייטרלי,0.75,ליטר,בקבוק,1000,0.00075
28,עוף בקארי מאסמן,,tbd,1,מתכון,408,124,שמן נייטרלי,1,כף,בקבוק,1000,0.001
13,סלט מג׳דרה,,tbd,2,אורז,161,124,שמן נייטרלי,2,כף,בקבוק,1000,0.002
11,סלט ניסואז,Salade Nicoise,tbd,1,מתכון,136,124,שמן נייטרלי,4,כף,בקבוק,1000,0.004
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,1,מתכון,365,124,שמן נייטרלי,4,כף,בקבוק,1000,0.004
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,3,תפוח אדמה בפרסיאד,381,124,שמן נייטרלי,4,כף,בקבוק,1000,0.004
29,עוף קונג פאו,,tbd,1,מנה,429,124,שמן נייטרלי,5,כף,בקבוק,1000,0.005
12,סלט ירוק עם ויניגרט עשבים,,tbd,2,רוטב,153,124,שמן נייטרלי,8,כף,בקבוק,1000,0.008
20,שרימפס פריך ברוטב גריביש,,tbd,3,מיונז,265,124,שמן נייטרלי,120,גרם,בקבוק,1000,0.12
45,"טארט עגבניות, זיתים ודג כבוש",,tbd,2,אסקבש escabeche,612,202,שמן תירס,80,גרם,בקבוק,1000,0.08
43,טארט טאטן קלאסי,,tbd,2,הגשה,598,203,שמנת חמוצה,100,גרם,אריזה,100,1
7,ביצים מקושקשות,Oeufs Bruilles,tbd,1,מתכון,83,126,שמנת לבישול,80,גרם,אריזה,100,0.8
8,ביצים בנוסח פלורנטין,,tbd,1,מתכון,86,127,שמנת מתוקה,40,גרם,אריזה,100,0.4
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,2,רוטב,376,127,שמנת מתוקה,50,גרם,אריזה,100,0.5
38,פחזניות עם קרם דיפלומט,,tbd,2,קרם דיפלומט,537,127,שמנת מתוקה,50,גרם,אריזה,100,0.5
14,קיש לוריין,Quiche Lorraine,tbd,3,מלית,184,127,שמנת מתוקה,170,גרם,אריזה,100,1.7
27,פנה קוטה עם פירות אדומים,,tbd,1,פנה קוטה,386,127,שמנת מתוקה,200,גרם,אריזה,100,2
36,פטוצ׳יני חציר וקש,,tbd,1,מתכון,518,127,שמנת מתוקה,300,גרם,אריזה,100,3
41,סופלה פרלינה עם רוטב קרמל מלוח,,tbd,2,רוטב,585,127,שמנת מתוקה,300,גרם,אריזה,100,3
47,ואשראן,,tbd,3,קצפת,668,127,שמנת מתוקה,500,גרם,אריזה,100,5
17,קרם ברולה,Creme Brulee,tbd,1,מתכון,219,127,שמנת מתוקה,750,גרם,אריזה,100,7.5
11,סלט ניסואז,Salade Nicoise,tbd,1,מתכון,129,128,שעועית ירוקה,5,יחידה,יחידה,1,5
6,ריבולטה,Ribollita,tbd,1,מתכון,78,129,שעועית לבנה מבושלת,250,גרם,אריזה,500,0.5
23,פוט או פה (סיר על האש),Pot au Feu,tbd,1,מתכון,318,130,שפונדרה עם עצם,1000,גרם,במשקל,1000,1
1,סלט בורגול ועשבים,טבולה,tbd,1,מתכון,12,131,שקדיים קלויים,30,גרם,אריזה,50,0.6
20,שרימפס פריך ברוטב גריביש,,tbd,1,מתכון,253,132,שרימפס,5,יחידה,יחידה,1,5
22,סלט שרימפס ופומלה,,tbd,2,סלט,301,133,שרימפס,12,יחידה,יחידה,1,12
2,רטטוי,Ratatouille,tbd,1,מתכון,24,134,תימין,1,גבעול,צרור,20,0.05
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,1,מתכון,367,134,תימין,1,גבעול,צרור,20,0.05
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,2,רוטב,373,134,תימין,1,גבעול,צרור,20,0.05
31,ריזוטו לבן עם פטריות,,tbd,2,פטריות,446,134,תימין,1,גבעול,צרור,20,0.05
4,מרק קרם שורשים,,tbd,1,מתכון,48,134,תימין,2,גבעול,צרור,20,0.1
